CustomerID,Name,Region,JoinDate,SpendingScore,TierLevel,DefaultPaymentType
1000,Robert Gomez,West,2/25/2024,75,Gold,Credit/Debit
1001,John Silva,East,12/1/2020,100,Diamond,ACH
1002,Mark Marshall,Central,8/8/2020,75,Gold,Cash
1003,David Brennan,North,5/21/2020,44,Silver,ACH
1004,Kerry Collins,North,9/12/2023,40,Silver,Credit/Debit
1005,Jessica Mora,South,8/5/2021,89,Platinum,Credit/Debit
1006,Hannah Ray,West,7/3/2021,66,Gold,Credit/Debit
1007,David Kim,West,5/20/2020,69,Gold,Credit/Debit
1008,William Ramirez,EAST,9/15/2023,69,Gold,Credit/Debit
1009,Zachary Bell Jr.,East,4/20/2023,61,Gold,ACH
1010,Mike Davis,East,3/23/2022,52,Silver,ACH
1011,Amanda Myers,West,9/5/2021,32,Silver,Cash
1012,Tara Miller,North,8/10/2020,21,Silver,Cash
1013,Alyssa Morgan,North,7/22/2022,47,Silver,ACH
1014,Cindy Woods,East,4/2/2024,49,Silver,Digital
1015,Jennifer Rodgers,North,2/12/2023,50,Silver,ACH
1016,Andrea Roberts,EAST,5/16/2021,35,Silver,ACH
1017,Brittney Burnett,North,7/3/2020,90,Platinum,Cash
1018,Edwin Garrison,south-west,8/31/2020,75,Gold,Cash
1019,Michelle Torres,Central,11/18/2020,92,Diamond,ACH
1020,Michelle Brewer,East,7/14/2021,55,Gold,Cash
1021,Aaron Burnett,South,2/13/2024,88,Platinum,Debit/Credit
1022,Austin Gutierrez,EAST,11/25/2021,47,Silver,Credit/Debit
1023,Dustin Medina,east,6/14/2021,20,Silver,ACH
1024,Andres Avila,Central,9/19/2022,99,Platinum,ACH
1025,Garrett Lewis,South,8/4/2023,70,Gold,ACH
1026,Gary Walls,North,10/5/2023,80,Platinum,Credit/Debit
1027,Anthony Schroeder,east,10/4/2020,50,Silver,Cash
1028,Haley Wagner,West,11/3/2023,12,Silver,Credit/Debit
1029,Gina Powers,West,10/26/2022,100,Platinum,Credit/Debit
1030,Alice Robinson,EAST,8/6/2021,75,Gold,Credit/Debit
1031,Jessica Frazier,West,10/20/2021,99,Diamond,Credit/Debit
1032,Terri Long,east,10/23/2022,55,Gold,Credit/Debit
1033,Paul Perkins,east,3/16/2022,92,Platinum,Credit/Debit
1034,Heather Smith,Central,9/16/2022,62,Gold,ACH
1035,Lorraine Rodriguez,East,9/26/2022,94,Platinum,ACH
1036,Robert Bishop,south-west,9/14/2020,28,Silver,Cash
1037,Lisa Sanders,West,6/3/2020,100,Platinum,Cash
